#target first then source
pelvis spine
spine_01 spine.001
spine_02 spine.002
spine_03 spine.003
neck spine.004
head spine.005
clavicle_l shoulder.L
upperarm_l upper_arm.L
arm_l forearm.L
hand_l hand.L
thumb_01_l none
thumb_02_l none
thumb_03_l none
index_01_l none
index_02_l none
index_03_l none
middle_01_l none
middle_02_l none
middle_03_l none
ring_01_l none
ring_02_l none
ring_03_l none
pinky_01_l none
pinky_02_l none
pinky_03_l none
clavicle_r shoulder.R
upperarm_r upper_arm.R
arm_r forearm.R
hand_r hand.R
thumb_01_r none
thumb_02_r none
thumb_03_r none
index_01_r none
index_02_r none
index_03_r none
middle_01_r none
middle_02_r none
middle_03_r none
ring_01_r none
ring_02_r none
ring_03_r none
pinky_01_r none
pinky_02_r none
pinky_03_r none
hip_l pelvis.L
thigh_l thigh.L
knee_l shin.L
foot_l foot.L
kneeIK_l knee.L
heelIK_l heel.L
hip_r pelvis.R
thigh_r thigh.R
knee_r shin.R
foot_r foot.R
kneeIK_r knee.R
heelIK_r heel.R
